iter	Passed	Remaining
268	73575	63182
269	73852	62911
270	74115	62629
271	74399	62364
272	74639	62062
273	74898	61777
274	75158	61493
275	75413	61205
276	75781	61008
277	76049	60730
278	76329	60461
279	76604	60189
280	76898	59931
281	77194	59675
282	77497	59424
283	77809	59178
284	78072	58896
285	78297	58586
286	78545	58293
287	78783	57993
288	79038	57706
289	79288	57415
290	79555	57137
291	79831	56866
292	80215	56671
293	80440	56362
294	80690	56073
295	81001	55825
296	81388	55629
297	81636	55337
298	81927	55074
299	82167	54778
300	82427	54495
301	82693	54216
302	82977	53949
303	83272	53688
304	83530	53404
305	83795	53124
306	84057	52843
307	84304	52553
308	84637	52316
309	84900	52035
310	85187	51770
311	85478	51506
312	85734	51221
313	85992	50937
314	86370	50725
315	86614	50433
316	86879	50154
317	87149	49878
318	87397	49589
319	87665	49311
320	87961	49050
321	88228	48772
322	88516	48506
323	88773	48222
324	89039	47944
325	89320	47674
326	89622	47414
327	89925	47155
328	90154	46858
329	90406	46573
330	90696	46307
331	90949	46022
332	91226	45750
333	91519	45485
334	91789	45209
335	92035	44922
336	92349	44667
337	92599	44382
338	92833	44089
339	93096	43809
340	93375	43538
341	93645	43263
342	93898	42979
343	94155	42698
344	94424	42422
345	94732	42164
346	94993	41884
347	95292	41621
348	95539	41336
349	95816	41064
350	96084	40787
351	96349	40510
352	96602	40228
353	96929	39976
354	97208	39704
355	97439	39413
356	97741	39151
357	98003	38872
358	98248	38587
359	98590	38340
360	98818	38049
361	99070	37767
362	99331	37488
363	99598	37212
364	99861	36934
365	100122	36656
366	100372	36374
367	100619	36091
368	100864	35808
369	101203	35558
370	101478	35285
371	101728	35003
372	102075	34754
373	102328	34474
374	102588	34196
375	102856	33920
376	103091	33634
377	103359	33359
378	103599	33075
379	103879	32803
380	104156	32531
381	104411	32252
382	104676	31977
383	104941	31701
384	105237	31434
385	105505	31159
386	105813	30896
387	106047	30611
388	106315	30336
389	106556	30054
390	106850	29787
391	107230	29543
392	107486	29264
393	107800	29002
394	108069	28727
395	108334	28451
396	108595	28174
397	108843	27894
398	109117	27621
399	109385	27346
400	109649	27070
401	109893	26790
402	110146	26511
403	110545	26268
404	110763	25981
405	111023	25704
406	111284	25428
407	111527	25148
408	111782	24870
409	112041	24594
410	112282	24314
411	112525	24034
412	112767	23754
413	113000	23473
414	113241	23193
415	113494	22917
416	113764	22643
417	113991	22362
418	114249	22086
419	114491	21807
420	114866	21554
421	115152	21284
422	115389	21004
423	115641	20728
424	115902	20453
425	116164	20178
426	116409	19901
427	116672	19627
428	116942	19354
429	117219	19082
430	117477	18807
431	117811	18544
432	118157	18282
433	118420	18008
434	118671	17732
435	118952	17460
436	119210	17185
437	119489	16913
438	119746	16639
439	119973	16359
440	120226	16084
441	120463	15807
442	120720	15532
443	121003	15261
444	121287	14990
445	121547	14716
446	121788	14440
447	122008	14161
448	122259	13886
449	122510	13612
450	122741	13335
451	123072	13069
452	123306	12793
453	123544	12517
454	123759	12239
455	124034	11968
456	124312	11696
457	124576	11424
458	124822	11149
459	125052	10874
460	125295	10599
461	125540	10325
462	125791	10052
463	126050	9779
464	126303	9506
465	126551	9233
466	126791	8959
467	127073	8688
468	127346	8417
469	127606	8145
470	127874	7873
471	128136	7601
472	128437	7331
473	128679	7058
474	128935	6786
475	129204	6514
476	129465	6242
477	129768	5972
478	130000	5699
479	130270	5427
480	130530	5156
481	130805	4884
482	131055	4612
483	131318	4341
484	131568	4069
485	131836	3797
486	132128	3527
487	132385	3255
488	132622	2983
489	132852	2711
490	133090	2439
491	133352	2168
492	133612	1897
493	133857	1625
494	134126	1354
495	134420	1084
496	134715	813
497	134956	541
498	135197	270
499	135441	0
